Store,Dept,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size
38,11,2010-04-09,512.46,False,59.25,3.09,,,,,,126.6019032,14.099,C,39690
10,34,2012-06-08,40903.33,False,86.87,4.103,7184.69,31.0,338.26,637.39,5399.57,130.8896774,7.382,B,126512
20,16,2012-01-27,5671.94,False,37.19,3.567,1023.6,3044.15,106.08,52.87,2447.73,212.9286312,6.961,A,203742
4,80,2010-09-24,17749.82,False,60.96,2.642,,,,,,126.1900333,7.372,A,205863
45,3,2011-11-18,7400.34,False,51.34,3.53,4240.34,132.96,111.71,270.14,7073.0,188.1983654,8.523,B,118221
12,80,2011-07-08,37.12,False,89.9,3.705,,,,,,129.1125,13.503,B,112238
32,72,2011-01-14,31737.77,False,21.69,2.911,,,,,,191.4784939,8.818,A,203007
11,12,2012-10-12,4217.77,False,69.94,3.601,2345.03,,22.95,271.93,13035.68,226.9239785,6.034,A,207499
25,87,2011-11-11,7416.94,False,44.81,3.53,7642.65,8851.65,196.09,3286.86,3287.36,210.9810201,7.082,B,128107
10,7,2012-06-22,46346.57,False,89.92,4.014,7684.55,12.6,1.17,3375.65,7210.53,130.7929,7.382,B,126512
36,25,2011-05-20,7.5,False,73.02,3.925,,,,,,214.465412,8.3,A,39910
20,85,2012-02-10,3316.06,True,33.47,3.64,9804.0,13171.55,132.42,16864.33,7535.63,213.1186138,6.961,A,203742
9,2,2010-03-05,23609.13,False,48.43,2.625,,,,,,214.9054721,6.415,B,125833
20,56,2011-03-25,4512.38,False,44.83,3.625,,,,,,207.6553444,7.343,A,203742
1,60,2010-08-06,1100.0,False,87.16,2.627,,,,,,211.5046621,7.787,A,151315
43,42,2011-08-12,152.04,False,86.64,3.638,,,,,,207.4330369,10.641,C,41062
17,55,2011-01-07,10978.72,False,6.23,2.891,,,,,,127.1917742,6.866,B,93188
22,23,2012-04-20,29011.89,False,58.81,4.046,7200.16,6519.27,14.55,54.25,3897.67,141.9015262,7.671,B,119557
5,25,2011-08-19,3125.96,False,89.35,3.554,,,,,,216.2311855,6.529,B,34875
32,21,2011-02-04,4791.93,False,15.47,3.011,,,,,,191.7625895,8.818,A,203007
18,95,2012-03-09,62015.04,False,38.1,3.876,7410.18,368.19,25.46,1852.39,2332.07,137.5066897,8.075,B,120653
45,80,2012-01-13,901.5,False,41.18,3.513,3489.73,11219.72,0.92,489.07,9596.29,189.3260962,8.424,B,118221
18,5,2012-05-11,13503.12,False,57.44,3.947,11557.93,,89.44,1570.63,3911.58,138.0882667,8.304,B,120653
20,48,2011-12-09,1126.0,False,41.64,3.415,9458.19,81.5,791.04,5254.23,11447.14,211.8667856,7.082,A,203742
35,32,2011-06-17,6317.96,False,67.03,3.842,,,,,,139.0028333,8.512,B,103681
23,32,2012-07-20,12115.62,False,71.13,3.61,2538.45,5.7,38.15,437.8,1377.22,138.2331935,4.156,B,114533
23,91,2010-11-19,27973.18,False,41.66,3.03,,,,,,132.9172,5.287,B,114533
35,27,2012-05-04,1164.9,False,53.68,3.951,13647.64,,9.87,6114.76,4853.52,142.0177929,8.876,B,103681
22,83,2010-06-11,1568.4,False,65.01,2.83,,,,,,136.2874263,8.348,B,119557
13,56,2010-09-24,2650.95,False,68.22,2.872,,,,,,126.1900333,7.951,A,219622
7,24,2011-07-08,2396.63,False,59.08,3.54,,,,,,193.1878448,8.622,B,70713
18,46,2012-08-10,16037.65,False,75.7,3.772,20397.03,134.57,41.72,3800.38,2169.34,138.1437742,8.535,B,120653
44,59,2011-08-12,91.64,False,75.95,3.606,,,,,,129.2015806,6.56,C,39910
10,72,2011-08-26,125855.98,False,91.59,3.663,,,,,,129.2832581,8.257,B,126512
24,79,2011-01-07,20085.84,False,30.72,3.351,,,,,,132.8823226,8.252,A,203819
21,42,2011-09-30,4948.94,False,78.91,3.355,,,,,,216.3620333,7.852,B,140167
30,95,2010-11-12,43246.93,False,60.95,2.728,,,,,,211.6608975,8.163,C,42988
45,79,2012-04-06,16763.31,False,49.73,3.996,13450.45,,26.59,3363.54,3962.01,190.6851712,8.567,B,118221
22,13,2012-04-13,32251.98,False,49.89,4.025,5981.5,10877.85,9.5,1633.96,1932.86,141.8433929,7.671,B,119557
25,2,2011-06-24,37247.12,False,70.71,3.804,,,,,,208.2306018,7.287,B,128107
17,17,2011-11-04,10462.33,False,37.52,3.538,,,,,,129.8051935,6.617,B,93188
14,54,2010-10-01,145.0,False,70.58,2.707,,,,,,182.7168385,8.724,A,200898
32,37,2011-12-09,3425.64,False,17.94,3.331,6397.72,63.0,303.02,2813.68,9856.66,195.8742575,8.513,A,203007
1,13,2010-05-14,36499.93,False,74.78,2.854,,,,,,210.3374261,7.808,A,151315
41,92,2011-07-22,104984.18,False,74.11,3.545,,,,,,193.5120367,6.901,A,196321
38,82,2012-02-24,6765.96,False,53.13,3.95,102.49,328.86,,2.86,2435.31,130.5502069,12.187,C,39690
31,40,2012-06-29,56579.65,False,88.05,3.286,5659.29,7.6,,408.59,6001.91,221.4813343,6.891,A,203750
34,37,2010-04-30,2328.38,False,56.58,2.787,,,,,,126.3805667,9.593,A,158114
3,56,2012-08-10,362.19,False,85.85,3.494,3375.44,28.4,2.4,1880.43,555.9,225.4735085,6.334,B,37392
36,2,2011-02-25,13717.22,False,67.73,3.053,,,,,,212.2912786,8.395,A,39910
45,1,2011-02-18,35065.76,False,40.7,3.245,,,,,,183.9371353,8.549,B,118221
28,32,2010-09-17,6854.37,False,82.45,3.028,,,,,,126.1454667,14.18,A,206302
10,74,2011-11-04,38585.56,False,68.57,3.828,,,,,,129.8051935,7.874,B,126512
32,9,2011-04-15,18576.88,False,45.97,3.611,,,,,,192.4225954,8.595,A,203007
8,20,2012-03-02,5068.67,False,50.95,3.63,19521.45,1000.19,0.6,5819.37,3641.54,224.3959793,5.825,A,155078
7,44,2011-03-04,2730.85,False,21.84,3.232,,,,,,192.0116004,8.818,B,70713
21,59,2010-12-24,14180.23,False,51.29,2.886,,,,,,211.0646599,8.163,B,140167
7,31,2011-05-27,760.84,False,37.51,3.795,,,,,,192.8365651,8.595,B,70713
6,26,2010-06-11,9119.3,False,81.81,2.668,,,,,,212.9835992,7.092,A,202505
31,46,2010-10-22,22753.51,False,70.72,2.725,,,,,,211.5187208,8.163,A,203750
39,27,2010-12-10,2197.16,False,50.81,2.843,,,,,,210.2372494,8.476,A,184109
24,7,2011-01-14,15728.09,False,22.41,3.367,,,,,,132.9510645,8.252,A,203819
14,87,2012-01-27,14590.76,False,37.93,3.567,3468.31,2195.14,689.52,252.01,2128.36,189.5168505,8.424,A,200898
8,81,2012-01-06,13301.67,False,43.47,3.157,3093.39,26001.46,96.35,500.91,4468.63,223.2409668,5.825,A,155078
27,80,2010-08-20,28326.82,False,75.16,2.913,,,,,,136.5249182,7.982,A,204184
37,8,2012-08-17,16122.44,False,85.89,3.571,170.08,,13.16,,792.21,220.7199609,6.623,C,39910
10,79,2012-02-24,44469.27,False,56.02,3.95,13929.09,4614.67,,596.5,6528.31,130.5502069,7.545,B,126512
22,3,2011-06-10,7123.19,False,69.53,3.924,,,,,,138.8606382,8.252,B,119557
31,29,2011-09-16,2736.79,False,80.62,3.526,,,,,,215.6944378,7.852,A,203750
28,16,2011-04-29,11371.24,False,68.27,4.151,,,,,,128.9998667,13.736,A,206302
28,56,2012-03-02,674.79,False,52.27,4.178,23765.08,872.4,3.5,12645.96,4736.14,130.6457931,12.187,A,206302
45,38,2010-10-15,48677.6,False,58.61,2.868,,,,,,182.8106203,8.724,B,118221
44,96,2010-06-25,3815.33,False,71.83,2.82,,,,,,126.1266,7.972,C,39910
45,7,2012-05-25,23577.92,False,67.21,3.798,5370.39,,361.22,1287.62,2461.81,191.0028096,8.567,B,118221
28,44,2010-07-02,4510.39,False,91.98,3.105,,,,,,126.1392,14.18,A,206302
16,14,2012-09-21,7657.78,False,56.48,3.765,3913.62,1.91,,143.35,5661.0,198.358523,6.061,B,57197
41,6,2012-06-29,4457.62,False,76.54,3.693,2864.01,346.02,,393.26,3293.29,197.785577,6.547,A,196321
3,46,2010-09-10,4168.24,True,80.84,2.565,,,,,,214.8065431,7.346,B,37392
36,80,2011-09-02,18371.36,False,87.5,3.481,,,,,,214.5516896,8.177,A,39910
10,82,2011-01-21,19270.25,False,56.75,3.336,,,,,,127.4404839,8.744,B,126512
4,94,2010-10-15,56504.69,False,62.03,2.732,,,,,,126.3266774,7.127,A,205863
45,12,2010-03-26,3707.41,False,54.36,2.854,,,,,,181.9718697,8.992,B,118221
37,46,2012-07-20,8574.32,False,81.76,3.311,67.7,,3.97,,1634.33,220.6148749,6.623,C,39910
17,26,2010-08-27,6970.76,False,65.03,2.854,,,,,,126.0892903,6.697,B,93188
38,6,2012-04-06,38.4,False,64.05,4.121,24.75,,10.47,,1495.97,131.0375484,11.627,C,39690
2,19,2011-12-23,4960.59,False,46.66,3.112,2971.04,15.18,1501.75,88.76,6437.61,218.9995495,7.441,A,202307
34,65,2010-11-05,51388.87,False,52.43,2.699,,,,,,126.4912903,10.21,A,158114
23,10,2011-10-21,29426.69,False,52.12,3.618,,,,,,136.5017742,4.42,B,114533
24,23,2011-12-02,28488.65,False,47.21,3.666,4825.79,126.88,1601.23,6002.36,19966.73,136.4909333,8.454,A,203819
42,14,2011-01-14,1587.07,False,49.98,3.312,,,,,,127.3009355,8.744,C,39690
39,40,2011-04-08,57562.68,False,69.45,3.622,,,,,,213.8116658,8.3,A,184109
32,3,2012-10-05,11459.45,False,55.34,3.779,4879.58,,27.93,2641.24,5393.9,198.8221322,7.557,A,203007
16,12,2010-10-22,5000.64,False,45.85,2.762,,,,,,190.9070184,6.986,B,57197
9,26,2011-11-18,4997.29,False,58.8,3.308,3648.4,2.63,21.12,1639.62,3623.62,221.8803923,6.054,B,125833
40,1,2011-07-01,16574.82,False,65.25,3.815,,,,,,135.4468,4.584,A,155083
23,83,2011-02-04,2330.63,False,14.5,3.24,,,,,,133.1834194,5.114,B,114533
34,65,2012-04-13,51824.93,False,59.12,3.881,5146.78,3729.58,14.82,799.06,1563.6,131.108,9.575,A,158114
45,94,2012-08-17,3837.01,False,75.71,3.807,3657.79,6.0,0.3,1630.5,3794.22,191.2284919,8.684,B,118221
29,97,2010-12-24,2319.22,False,29.76,3.15,,,,,,132.7477419,10.524,B,93638
6,33,2010-05-21,6981.79,False,74.8,2.826,,,,,,212.1275324,7.092,A,202505
9,44,2011-05-13,3090.47,False,77.66,3.899,,,,,,219.6041829,6.38,B,125833
45,54,2011-03-25,30.92,False,41.76,3.625,,,,,,184.9943679,8.549,B,118221
20,59,2011-11-25,2508.86,True,46.38,3.492,335.66,80.0,101378.79,64.46,2251.98,211.4120757,7.082,A,203742
24,33,2011-04-29,6464.93,False,60.48,4.117,,,,,,134.4357333,8.212,A,203819
4,52,2011-06-24,2518.97,False,81.85,3.57,,,,,,129.0663,5.946,A,205863
24,99,2012-09-07,10.02,True,72.81,4.076,15092.87,60.92,89.01,2756.36,4563.61,138.4729355,8.953,A,203819
38,60,2012-03-02,414.0,False,52.27,4.178,1895.3,5.9,3.93,68.88,3186.15,130.6457931,12.187,C,39690
26,7,2012-08-31,11986.19,False,63.69,3.884,13118.17,3.4,86.31,2176.09,2555.38,138.3771935,7.405,A,152513
37,72,2012-06-08,218.76,False,81.5,3.452,349.22,,14.4,,769.34,220.4357073,6.989,C,39910
27,42,2012-08-03,10795.92,False,75.22,3.819,39317.03,194.67,64.32,25462.22,3161.43,142.1916279,8.239,A,204184
10,50,2012-03-30,4490.0,False,67.92,4.294,7388.74,7.8,,574.87,4035.49,130.9670968,7.545,B,126512
20,49,2012-08-17,23792.92,False,69.57,3.807,3008.99,99.68,1.12,2535.66,2831.84,214.825578,7.28,A,203742
41,93,2010-10-15,33417.2,False,49.91,2.762,,,,,,190.8623087,7.508,A,196321
33,18,2011-01-14,154.45,False,53.63,3.312,,,,,,127.3009355,8.951,A,39690
42,4,2012-02-10,17796.12,True,55.73,3.722,992.73,13.93,25.7,,1700.95,130.3849032,7.545,C,39690
13,20,2010-05-14,10733.76,False,50.15,2.962,,,,,,126.2085484,8.107,A,219622
18,20,2010-02-05,11255.49,False,21.33,2.788,,,,,,131.5279032,9.202,B,120653
40,35,2012-10-12,2004.04,False,47.35,4.029,1686.43,,13.85,589.97,6365.02,138.9117,4.145,A,155083
43,25,2011-07-01,103.84,False,91.36,3.524,,,,,,207.0288571,10.641,C,41062
30,83,2010-09-24,2014.18,False,80.79,2.624,,,,,,211.2552578,8.099,C,42988
42,93,2010-03-26,24933.95,False,60.05,2.98,,,,,,126.6050645,9.765,C,39690
6,83,2011-09-02,3514.65,False,91.22,3.533,,,,,,217.3343423,6.925,A,202505
32,58,2011-06-17,3475.0,False,67.38,3.697,,,,,,192.9034759,8.595,A,203007
17,38,2012-03-02,93800.38,False,26.28,3.242,14469.08,1163.89,37.38,8771.3,2237.79,130.6457931,6.403,B,93188
1,97,2012-09-14,39216.22,False,74.97,3.717,17212.52,7.0,18.79,1523.11,7992.72,222.5820193,6.908,A,151315
27,9,2011-06-10,39835.27,False,73.26,4.025,,,,,,138.8606382,7.725,A,204184
34,6,2010-10-01,2536.74,False,70.13,2.619,,,,,,126.2346,10.21,A,158114
4,21,2011-09-30,7873.74,False,72.15,3.371,,,,,,129.6060667,5.644,A,205863
10,72,2012-06-01,110310.16,False,80.06,4.277,11614.41,,172.39,2945.55,1528.02,130.9592258,7.382,B,126512
23,26,2011-09-16,13800.34,False,60.52,3.809,,,,,,136.3145,4.584,B,114533
8,90,2012-05-25,37293.29,False,76.11,3.561,2989.94,,651.09,1056.01,10189.75,225.3005779,5.679,A,155078
28,25,2012-05-25,15413.75,False,83.84,4.293,7557.62,,609.0,1574.85,7620.93,131.0287742,11.627,A,206302
31,1,2010-05-07,16812.53,False,70.87,2.835,,,,,,210.0011018,8.2,A,203750
22,33,2010-05-14,6473.14,False,50.99,2.983,,,,,,136.010394,8.348,B,119557
7,8,2011-04-29,11468.24,False,26.79,3.663,,,,,,192.6243322,8.595,B,70713
14,26,2012-04-06,14892.92,False,49.73,3.996,8376.85,,81.19,3578.4,4857.19,190.6851712,8.567,A,200898
44,31,2012-09-28,12.24,False,64.8,3.821,380.96,,,,2022.03,131.043,5.407,C,39910
32,99,2012-05-04,380.0,False,58.29,3.903,11832.54,,117.43,1881.84,4729.13,197.6063534,8.09,A,203007
33,16,2012-10-12,280.74,False,79.64,4.468,33.23,,,,590.43,131.1083333,6.895,A,39690
16,9,2012-08-24,59623.42,False,61.44,3.558,1556.47,16.0,3.34,869.05,1691.12,198.0984199,6.061,B,57197
8,19,2012-07-13,585.91,False,78.46,3.256,10278.48,129.2,24.0,1750.15,2057.71,225.4831143,5.401,A,155078
28,4,2011-10-14,25912.37,False,67.31,3.805,,,,,,129.7706452,12.89,A,206302
31,98,2012-09-28,8937.22,False,80.38,3.666,6570.37,16.73,0.15,354.35,7577.57,222.6164329,6.565,A,203750
4,28,2010-11-12,1211.05,False,52.65,2.741,,,,,,126.5461613,7.127,A,205863
40,52,2012-09-07,1035.95,True,65.06,3.921,5494.1,,39.66,925.8,3268.99,138.4729355,4.156,A,155083
34,83,2011-08-05,2857.55,False,76.71,3.662,,,,,,129.1846452,10.641,A,158114
42,98,2012-08-03,4687.62,False,84.76,3.595,,,5.97,,628.99,130.737871,7.17,C,39690
2,79,2012-10-12,33427.18,False,60.97,3.601,2145.5,,33.31,586.83,10421.01,223.0154263,6.17,A,202307
45,95,2012-03-02,51125.95,False,41.55,3.816,22832.38,2515.25,4.0,13317.88,2560.48,190.1714927,8.424,B,118221
33,59,2011-03-25,10.58,False,63.34,3.716,,,,,,128.6160645,8.951,A,39690
39,14,2010-06-25,14915.42,False,83.24,2.653,,,,,,210.0975233,8.464,A,184109
24,33,2010-05-14,5117.5,False,51.31,3.112,,,,,,132.152129,8.211,A,203819
22,85,2012-08-03,2601.67,False,72.99,3.698,35383.88,88.92,27.32,18389.63,3237.41,142.1916279,7.753,B,119557
16,81,2011-09-30,3187.82,False,57.61,3.538,,,,,,194.8779718,6.338,B,57197
11,95,2011-01-28,65509.96,False,51.04,3.01,,,,,,215.5065821,7.551,A,207499
42,81,2010-08-06,16248.97,False,86.13,3.123,,,,,,126.0854516,9.199,C,39690
20,23,2010-06-18,47466.45,False,72.62,2.78,,,,,,204.670036,7.856,A,203742
16,81,2012-03-02,3863.45,False,23.4,3.191,8501.55,871.52,,2066.16,3207.63,196.9565303,6.162,B,57197
11,18,2011-06-10,0.25,False,85.79,3.648,,,,,,218.4037974,7.574,A,207499
16,20,2011-10-28,2685.65,False,41.97,3.55,,,,,,195.3318977,6.232,B,57197
32,29,2011-03-11,2802.78,False,36.51,3.372,,,,,,192.058484,8.818,A,203007
37,82,2011-10-14,6320.34,False,74.16,3.274,,,,,,216.0885258,7.716,C,39910
13,12,2012-09-14,8873.52,False,68.55,3.749,13208.43,,28.06,1300.16,10484.98,130.9776667,5.765,A,219622
11,9,2012-08-10,18376.3,False,86.21,3.494,16812.92,128.54,8.74,4764.33,4098.22,225.4735085,6.334,A,207499
3,95,2010-08-13,15539.8,False,86.74,2.692,,,,,,214.9730444,7.346,B,37392
28,5,2011-10-28,27827.67,False,67.41,3.727,,,,,,129.7936774,12.89,A,206302
42,80,2012-03-23,14400.0,False,56.54,4.288,2.43,,0.68,,796.25,130.8966452,7.545,C,39690
23,46,2011-12-16,60539.85,False,32.99,3.445,6112.33,19.18,738.38,591.22,4241.95,136.5335161,4.42,B,114533
10,91,2010-07-30,12895.64,False,85.03,3.017,,,,,,126.1069032,9.199,B,126512
27,42,2012-04-06,10558.84,False,48.73,4.143,10800.82,,101.35,3079.87,5692.72,141.7712396,8.253,A,204184
21,81,2010-03-05,3911.61,False,48.61,2.625,,,,,,211.0067542,8.324,B,140167
39,83,2011-01-07,6006.8,False,52.74,2.976,,,,,,210.1842358,8.395,A,184109
10,42,2012-06-22,11891.42,False,89.92,4.014,7684.55,12.6,1.17,3375.65,7210.53,130.7929,7.382,B,126512
45,1,2012-05-18,12413.93,False,66.3,3.848,6813.74,,13.86,936.49,2941.55,190.9964479,8.567,B,118221
19,12,2011-09-30,5651.16,False,64.99,3.858,,,,,,136.4195,7.806,A,203819
6,74,2011-10-21,19378.14,False,68.53,3.353,,,,,,219.0740167,6.551,A,202505
18,11,2011-09-16,11898.43,False,66.23,3.809,,,,,,136.3145,8.89,B,120653
5,25,2010-10-22,2020.95,False,70.96,2.725,,,,,,212.4169928,6.768,B,34875
6,74,2011-07-01,22687.93,False,87.0,3.524,,,,,,216.7257388,6.925,A,202505
24,3,2011-03-04,8458.3,False,31.36,3.605,,,,,,133.6141429,8.252,A,203819
43,82,2010-07-09,8775.62,False,81.52,2.642,,,,,,203.060919,9.816,C,41062
31,29,2010-04-23,3700.5,False,64.21,2.795,,,,,,210.1000648,8.2,A,203750
18,12,2011-03-11,4041.36,False,38.4,3.6,,,,,,133.7361429,9.131,B,120653
20,2,2012-06-22,80360.4,False,76.51,3.564,12173.74,875.7,2.36,4195.01,7516.62,214.606,7.139,A,203742
9,22,2012-03-23,5068.81,False,58.79,3.787,1681.15,1.8,0.68,414.45,466.42,225.0336786,5.667,B,125833
33,40,2011-05-13,5796.4,False,78.24,4.202,,,,,,129.089,8.687,A,39690
19,67,2011-01-28,8989.75,False,20.66,3.402,,,,,,133.1059677,7.771,A,203819
42,31,2010-05-21,14.0,False,78.32,3.12,,,,,,126.1843871,9.524,C,39690
16,96,2010-04-16,25.44,False,45.69,2.765,,,,,,189.6628845,6.842,B,57197
40,55,2010-11-12,11660.4,False,38.5,2.961,,,,,,132.9783226,5.287,A,155083
3,25,2010-07-02,4106.5,False,82.2,2.669,,,,,,214.5463222,7.346,B,37392
25,26,2010-05-21,3204.18,False,57.17,2.958,,,,,,203.8770235,7.856,B,128107
12,54,2011-12-16,116.76,False,43.29,3.6,4940.95,28.45,1038.3,1100.93,5243.21,129.8980645,12.89,B,112238
34,74,2010-03-19,6604.81,False,45.86,2.743,,,,,,126.6066452,9.521,A,158114
33,6,2011-01-21,5.74,False,59.46,3.336,,,,,,127.4404839,8.951,A,39690
12,2,2012-05-25,79834.59,False,83.84,4.293,8220.32,,373.92,2185.46,1825.94,131.0287742,11.627,B,112238
8,9,2011-02-25,8743.23,False,51.29,3.065,,,,,,216.9247918,6.262,A,155078
35,28,2012-01-06,673.14,False,35.8,3.422,5956.88,13987.28,24.73,1685.24,6269.59,140.6461359,8.744,B,103681
44,95,2012-09-07,35233.48,True,70.65,3.689,282.57,,106.31,,406.52,130.9325484,5.407,C,39910
45,3,2012-09-14,15488.13,False,67.87,3.948,11407.95,,4.3,3421.72,5268.92,191.69985,8.684,B,118221
35,22,2012-03-30,16056.12,False,49.4,3.953,19560.85,77.41,7.4,4081.77,3629.96,141.6990864,8.744,B,103681
22,85,2012-10-19,2438.15,False,55.28,4.0,2834.71,,3.66,459.34,3171.35,142.8633629,7.543,B,119557
